Time,BaseNavModule
0,-3.5
1,-3.5
2,-3.5
3,-3.5
4,-3.5
5,-3.5
6,-3.5
7,-3.5
8,-3.5
9,-3.5
10,-3.5
11,-3.5
12,-3.5
13,-3.5
14,-3.5
15,-3.5
16,-3.5
17,-3.5
18,-3.5
19,-3.5
20,-3.5
21,-3.5
22,-3.5
23,-3.5
24,-3.5
25,-3.5
26,-3.5
27,-3.5
28,-3.5
29,-3.5
30,-3.5
31,-3.5
32,-3.5
33,-3.5
34,-3.5
35,-3.5
36,-3.5
37,-3.5
38,-3.5
39,-3.5
40,-3.5
41,-3.5
42,-3.5
43,-3.5
44,-3.5
45,-3.5
46,-3.5
47,-3.5
48,-3.5
49,-3.5
50,-3.5
51,-3.5
52,-3.5
53,-3.5
54,-3.5
55,-3.5
56,-3.5
57,-3.5
58,-3.5
59,-3.5
60,-3.5
61,-3.5
62,-3.5
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,0.5
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
