Time,position,smoothposition,speed,smoothspeed
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,0,0,0,0
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,0,0,0,0
29,0,0,0,0
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,0,0,0,0
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,0,0,0,0
38,0,0,0,0
39,0,0,0,0
40,0,0,0,0
41,0,0,0,0
42,0,0,0,0
43,-0.5,-0.05,-0.05,-0.005
44,-0.5,-0.095,-0.045,-0.009
45,-0.5,-0.1355,-0.0405,-0.01215
46,-0.5,-0.17195,-0.03645,-0.01458
47,-0.5,-0.204755,-0.032805,-0.0164025
48,-0.5,-0.2342795,-0.0295245,-0.0177147
49,-0.5,-0.26085155,-0.02657205,-0.018600435
50,-0.5,-0.284766395,-0.023914845,-0.019131876
51,-0.5,-0.3062897555,-0.0215233605,-0.01937102445
52,-1,-0.37566077995,-0.06937102445,-0.02437102445
53,-1,-0.438094701955,-0.062433922005,-0.0281773142055
54,-1,-0.4942852317595,-0.0561905298045,-0.0309786357654
55,-1,-0.54485670858355,-0.0505714768240501,-0.032937919871265
56,-1,-0.590371037725195,-0.045514329141645,-0.034195560798303
57,-1,-0.631333933952676,-0.0409628962274805,-0.0348722943412208
58,-1,-0.668200540557408,-0.0368666066047324,-0.0350717255675719
59,-1,-0.701380486501667,-0.0331799459442592,-0.0348825476052406
60,-1,-0.7312424378515,-0.0298619513498333,-0.0343804879796999
61,-1,-0.75811819406635,-0.0268757562148499,-0.0336300148032149
62,-1,-0.782306374659715,-0.0241881805933649,-0.0326858313822299
63,-1,-0.804075737193744,-0.0217693625340285,-0.0315941844974098
64,-1,-0.823668163474369,-0.0195924262806256,-0.0303940086757314
65,-1,-0.841301347126933,-0.0176331836525631,-0.0291179261734145
66,-1,-0.857171212414239,-0.0158698652873067,-0.0277931200848038
67,-1,-0.871454091172815,-0.014282878758576,-0.026442095952181
68,-1,-0.884308682055534,-0.0128545908827185,-0.0250833454452347
69,-1,-0.89587781384998,-0.0115691317944466,-0.0237319240801559
70,-1,-0.906290032464982,-0.010412218615002,-0.0223999535336405
71,-1,-0.915661029218484,-0.00937099675350173,-0.0210970578556266
72,-1,-0.924094926296636,-0.00843389707815156,-0.0198307417778791
73,-1,-0.931685433666972,-0.0075905073703364,-0.0186067183371249
74,-1,-0.938516890300275,-0.00683145663330276,-0.0174291921667427
75,-1,-0.944665201270247,-0.00614831096997248,-0.0163011040470656
76,-1,-0.950198681143222,-0.00553347987297526,-0.0152243416296566
77,-1,-0.9551788130289,-0.00498013188567781,-0.0141999206552587
78,-1,-0.95966093172601,-0.00448211869711002,-0.0132281404594438
79,-1,-0.963694838553409,-0.00403390682739901,-0.0123087170962394
80,-1,-0.967325354698068,-0.00363051614465904,-0.0114408970010813
81,-1,-0.970592819228262,-0.00326746453019322,-0.0106235537539925
82,-1,-0.973533537305435,-0.00294071807717389,-0.00985527018631066
83,-1,-0.976180183574892,-0.00264664626945643,-0.00913440779462523
84,-1,-0.978562165217403,-0.0023819816425108,-0.00845916517941379
85,-1,-0.980705948695662,-0.00214378347825972,-0.00782762700929838
86,-1,-0.982635353826096,-0.00192940513043371,-0.00723780482141192
87,-1,-0.984371818443487,-0.00173646461739041,-0.00668767080100977
88,-1,-0.985934636599138,-0.0015628181556514,-0.00617518553647393
89,-1,-0.987341172939224,-0.00140653634008625,-0.00569832061683516
90,-1,-0.988607055645302,-0.00126588270607753,-0.0052550768257594
91,-0.5,-0.939746350080772,0.0488607055645301,0.000156501413269556
92,-0.5,-0.895771715072694,0.0439746350080772,0.00453831477275032
93,-0.5,-0.856194543565425,0.0395771715072695,0.00804220044620223
94,-0.5,-0.820575089208882,0.0356194543565425,0.0107999258372363
95,-0.5,-0.788517580287994,0.0320575089208882,0.0129256841456015
96,-0.5,-0.759665822259195,0.0288517580287995,0.0145182915339213
97,-0.5,-0.733699240033275,0.0259665822259195,0.0156631206031211
98,-0.5,-0.710329316029948,0.0233699240033275,0.0164338009431417
99,-0.5,-0.689296384426953,0.0210329316029948,0.016893714009127
100,0,-0.620366745984258,0.0689296384426953,0.0220973064524839
101,0,-0.558330071385832,0.0620366745984258,0.026091243267078
102,0,-0.502497064247249,0.0558330071385832,0.0290654196542286
103,0,-0.452247357822524,0.0502497064247249,0.0311838483312782
104,0,-0.407022622040271,0.0452247357822524,0.0325879370763756
105,0,-0.366320359836244,0.0407022622040271,0.0333993695891408
106,0,-0.32968832385262,0.0366320359836244,0.0337226362285891
107,0,-0.296719491467358,0.032968832385262,0.0336472558442564
108,0,-0.267047542320622,0.0296719491467358,0.0332497251745044
109,0,-0.24034278808856,0.0267047542320622,0.0325952280802601
110,0,-0.216308509279704,0.024034278808856,0.0317391331531197
111,0,-0.194677658351734,0.0216308509279704,0.0307283049306048
112,0,-0.17520989251656,0.0194677658351733,0.0296022510210617
113,0,-0.157688903264904,0.017520989251656,0.0283941248441211
114,0,-0.141920012938414,0.0157688903264904,0.027131601392358
115,0,-0.127728011644572,0.0141920012938414,0.0258376413825064
116,0,-0.114955210480115,0.0127728011644572,0.0245311573607014
117,0,-0.103459689432104,0.0114955210480115,0.0232275937294325
118,0,-0.0931137204888932,0.0103459689432104,0.0219394312508102
119,0,-0.0838023484400039,0.00931137204888932,0.0206766253306182
120,0,-0.0754221135960035,0.0083802348440004,0.0194469862819564
121,0,-0.0678799022364032,0.00754221135960036,0.0182565087897208
122,0,-0.0610919120127629,0.00678799022364032,0.0171096569331127
123,0,-0.0549827208114866,0.00610919120127629,0.0160096103599291
124,0,-0.0494844487303379,0.00549827208114866,0.014958476532051
125,0,-0.0445360038573041,0.00494844487303379,0.0139574733661493
126,0,-0.0400824034715737,0.00445360038573041,0.0130070860681074
127,0.5,0.0139258368755837,0.0540082403471574,0.0171072014960124
128,0.5,0.0625332531880253,0.0486074163124416,0.0202572229776553
129,0.5,0.106279927869223,0.0437466746811975,0.0226061681480096
130,0.5,0.145651935082301,0.0393720072130777,0.0242827520545164
131,0.5,0.18108674157407,0.0354348064917699,0.0253979574982417
132,0.5,0.212978067416663,0.031891325842593,0.0260472943326769
133,0.5,0.241680260674997,0.0287021932583337,0.0263127842252425
134,0.5,0.267512234607497,0.0258319739325003,0.0262647031959683
135,0.5,0.290761011146748,0.0232487765392503,0.0259631105302965
136,1,0.361684910032073,0.0709238988853252,0.0304591893657994
137,1,0.425516419028866,0.0638315089967927,0.0337964213288987
138,1,0.482964777125979,0.0574483580971135,0.0361616150057202
139,1,0.534668299413381,0.051703522287402,0.0377158057338884
140,1,0.581201469472043,0.0465331700586619,0.0385975421663657
141,1,0.623081322524839,0.0418798530527957,0.0389257732550087
142,1,0.660773190272355,0.0376918677475161,0.0388023827042595
143,1,0.694695871245119,0.0339226809727645,0.03831441253111
144,1,0.725226284120607,0.0305304128754881,0.0375360125655478
145,1,0.752703655708547,0.0274773715879393,0.0365301484677869
146,1,0.777433290137692,0.0247296344291453,0.0353500970639228
147,1,0.799689961123923,0.0222566709862307,0.0340407544561536
148,1,0.81972096501153,0.0200310038876077,0.032639779399299
149,1,0.837748868510377,0.018027903498847,0.0311785918092538
150,1,0.85397398165934,0.0162251131489622,0.0296832439432246
151,1,0.868576583493406,0.014602601834066,0.0281751797323088
152,1,0.881718925144065,0.0131423416506594,0.0266718959241438
153,1,0.893547032629659,0.0118281074855935,0.0251875170802888
154,1,0.904192329366693,0.0106452967370342,0.0237332950459633
155,1,0.913773096430023,0.00958076706333066,0.0223180422477001
156,1,0.922395786787021,0.0086226903569977,0.0209485070586298
157,1,0.930156208108319,0.00776042132129784,0.0196296984848966
158,1,0.937140587297487,0.00698437918916806,0.0183651665553238
159,1,0.943426528567738,0.00628594127025128,0.0171572440268165
160,1,0.949083875710965,0.00565734714322619,0.0160072543384575
161,1,0.954175488139868,0.00509161242890355,0.0149156901475021
162,1,0.958757939325881,0.00458245118601319,0.0138823662513532
163,1,0.962882145393293,0.00412420606741193,0.0129065502329591
