Time,Right Motor Speed,Left Motor Speed
0,54,54
1,54,54
2,54,54
3,54,54
4,54,54
5,52,56
6,51,57
7,50,58
8,50,58
9,50,58
10,50,58
11,50,58
12,50,58
13,50,58
14,50,58
15,51,57
16,51,57
17,51,57
18,52,56
19,52,56
20,52,56
21,53,55
22,53,55
23,53,55
24,53,55
25,54,54
26,54,54
27,54,54
28,54,54
29,54,54
30,54,54
31,54,54
32,55,53
33,55,53
34,55,53
35,55,53
36,55,53
37,55,53
38,55,53
39,55,53
40,55,53
41,55,53
42,55,53
43,55,53
44,54,54
45,55,53
46,55,53
47,55,53
48,55,53
49,55,53
50,55,53
51,55,53
52,55,53
53,55,53
54,55,53
55,55,53
56,55,53
57,55,53
58,55,53
59,55,53
60,54,54
61,54,54
62,54,54
63,54,54
64,54,54
65,54,54
66,54,54
67,54,54
68,54,54
69,54,54
70,54,54
71,54,54
72,54,54
73,54,54
74,54,54
75,54,54
76,54,54
77,54,54
78,54,54
79,54,54
80,54,54
81,54,54
82,54,54
83,54,54
84,54,54
85,54,54
86,54,54
87,54,54
88,54,54
89,54,54
90,54,54
91,54,54
92,54,54
93,54,54
94,54,54
95,54,54
96,54,54
97,54,54
98,54,54
99,54,54
100,54,54
101,54,54
102,54,54
103,54,54
104,54,54
105,54,54
106,54,54
107,54,54
108,54,54
109,54,54
110,54,54
111,54,54
112,54,54
113,54,54
114,54,54
115,54,54
116,54,54
117,54,54
118,54,54
119,54,54
120,54,54
121,54,54
122,54,54
123,54,54
124,54,54
125,54,54
126,54,54
127,54,54
128,54,54
129,54,54
130,54,54
131,54,54
132,54,54
133,54,54
134,54,54
135,54,54
136,54,54
137,54,54
138,54,54
139,54,54
140,54,54
141,54,54
142,54,54
143,54,54
144,54,54
145,54,54
146,54,54
147,54,54
148,54,54
149,54,54
150,54,54
151,54,54
152,54,54
153,54,54
154,54,54
155,54,54
156,54,54
157,54,54
158,54,54
159,54,54
160,54,54
161,54,54
162,54,54
163,54,54
164,54,54
165,53,55
166,53,55
167,53,55
168,53,55
169,53,55
170,53,55
171,53,55
172,53,55
173,53,55
174,53,55
175,53,55
176,54,54
177,54,54
178,54,54
179,54,54
180,55,53
181,55,53
182,55,53
183,55,53
184,55,53
185,55,53
186,55,53
187,56,52
188,56,52
189,56,52
190,56,52
191,56,52
192,56,52
193,56,52
194,55,53
195,55,53
196,56,52
197,57,51
198,57,51
199,57,51
200,57,51
201,57,51
202,57,51
203,58,50
204,58,50
205,58,50
206,58,50
207,58,50
208,57,51
209,57,51
210,57,51
211,57,51
212,57,51
213,54,0
214,54,0
215,54,0
216,54,0
217,54,0
218,54,0
219,54,0
220,54,0
221,54,0
222,54,0
223,54,0
224,54,0
225,54,0
226,54,0
227,54,52
228,54,52
229,54,52
230,54,52
231,54,52
232,54,52
233,54,52
234,54,52
235,54,52
236,54,52
237,54,52
238,54,52
239,54,52
240,54,52
241,54,52
242,54,52
243,54,52
244,54,52
245,54,52
246,54,52
247,54,52
248,54,52
249,54,52
250,54,52
251,54,52
252,54,52
253,54,52
254,54,52
255,54,52
256,54,52
257,54,52
258,54,52
259,54,52
260,54,52
261,54,0
262,54,0
263,54,0
264,54,0
265,54,0
266,54,0
267,54,0
268,54,0
269,54,0
270,54,0
271,54,0
272,54,0
273,54,0
274,54,52
275,54,52
276,54,52
277,54,52
278,54,52
279,54,52
280,54,52
281,54,52
282,54,52
283,54,52
284,54,52
285,54,52
286,54,52
287,54,52
288,54,52
289,54,52
290,54,52
291,54,52
292,54,52
293,54,52
294,54,52
295,54,52
296,54,52
297,54,52
298,54,52
299,54,52
300,54,52
301,54,52
302,54,52
303,54,52
304,54,52
305,54,52
306,54,52
307,54,52
308,54,52
309,54,52
310,54,52
311,54,52
312,54,52
313,54,52
314,54,52
315,54,52
316,54,52
317,54,52
318,54,52
319,54,52
320,54,52
321,54,52
322,54,52
323,54,52
324,54,52
325,54,52
326,54,52
327,54,52
328,54,52
329,54,52
330,54,52
331,54,52
332,54,52
333,54,52
334,54,52
335,54,52
336,54,52
337,54,52
338,54,52
339,54,52
340,54,52
341,54,52
342,54,0
343,54,0
344,54,0
345,54,0
346,54,0
347,54,0
348,54,0
349,54,0
350,54,0
351,54,0
352,54,0
353,54,0
354,54,52
355,54,52
356,54,52
357,54,52
358,54,52
359,54,52
360,54,52
361,54,52
362,54,52
363,54,52
364,54,52
365,54,52
366,54,52
367,54,52
368,54,52
369,54,52
370,54,52
371,54,52
372,54,52
373,54,52
374,54,52
375,54,52
376,54,52
377,54,52
378,54,52
379,54,52
380,54,52
381,54,52
382,54,52
383,54,52
384,54,52
385,54,52
386,54,52
387,54,52
388,54,52
389,54,52
390,54,52
391,54,52
392,54,52
393,54,52
394,54,52
395,54,52
396,54,52
397,54,52
398,54,52
399,54,52
400,54,52
401,54,52
402,54,52
403,54,52
404,54,52
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
